Stochastic,Momentum,Wiliams,ADI,EMA,MACD,RSI,OBV,BB_BBM,BB_BBH,BB_BBL,ATR
98.78906475,2380.401471,-1.210935252,1378760.22,38054.86316,1020.825045,78.57553864,639385.5688,37597.2435,39369.88097,35824.60603,723.6764163
65.15325953,2317.836324,-34.84674047,1383278.061,38174.01207,1003.167575,66.99905092,622464.896,37745.186,39448.9992,36041.3728,948.0566722
67.94587946,2189.539235,-32.05412054,1390911.227,38292.41046,986.9569927,67.73977118,632004.4372,37859.818,39593.82204,36125.81396,1004.809767
69.11143911,2106.625588,-30.88856089,1394347.831,38401.33974,966.7886218,68.0619842,636368.5709,37957.754,39741.03866,36174.46934,993.4983551
83.32373924,2007.504735,-16.67626076,1397066.436,38572.77577,986.056381,71.76516898,640902.1856,38098.536,39959.4384,36237.6336,992.1027583
81.91254851,1890.365941,-18.08745149,1397808.55,38718.52833,988.2247237,71.43798849,638046.5584,38233.7135,40137.13931,36330.28769,979.7382756
75.86752911,1895.588529,-24.13247089,1401118.141,38813.69522,960.0237988,67.76932594,632179.893,38332.6035,40269.03946,36396.16754,991.1255416
59.33324709,1927.123059,-40.66675291,1397730.966,38810.96653,876.0102673,58.8648758,628792.7181,38399.7175,40302.01607,36497.41893,985.0908601
56.43906856,1736.313824,-43.56093144,1400439.335,38793.68699,791.281372,57.44212418,623017.3288,38466.426,40309.04554,36623.80646,1000.441513
17.63880983,1292.115735,-82.36119017,1396897.684,38578.76072,596.2522789,42.58274916,613653.0817,38468.971,40304.33104,36633.61096,1085.612119
47.79042691,846.1757941,-52.20957309,1401116.308,38547.87263,529.6200005,52.8007478,618689.8286,38543.3335,40226.05267,36860.61433,1107.477682
55.60025873,657.1871471,-44.39974127,1400530.94,38561.34961,495.4588707,55.03295033,621967.5667,38614.9035,40183.89851,37045.90849,1073.940705
73.95446313,460.9017941,-26.04553687,1404416.603,38667.615,519.6377135,59.83992229,625963.3705,38708.186,40220.008,37196.364,1079.532083
92.62054636,665.3309412,-7.379453639,1410945.401,38941.45966,641.3975736,67.11456009,636261.5918,38891.986,40443.81853,37340.15347,1133.693363
95.72478477,1187.604882,-4.275215231,1416794.418,39254.15437,774.5728763,69.57555542,645548.1418,39065.215,40855.77856,37274.65144,1135.219551
91.12752795,1743.750059,-8.872472048,1416717.169,39529.18846,872.4977673,69.70617558,653138.4208,39233.9925,41197.04893,37270.93607,1120.456012
