Close,date,Stochastic,ADI,EMA,MACD,RSI,OBV,ATR
39109.38,2021-01-07T20:00,69.11143911,1394347.831,38401.33974,966.7886218,68.0619842,636368.5709,993.4983551
39687.11,2021-01-07T21:00,83.32373924,1397066.436,38572.77577,986.056381,71.76516898,640902.1856,992.1027583
39665.92,2021-01-07T22:00,81.91254851,1397808.55,38718.52833,988.2247237,71.43798849,638046.5584,979.7382756
39432.28,2021-01-07T23:00,75.86752911,1401118.141,38813.69522,960.0237988,67.76932594,632179.893,991.1255416
38793.23,2021-01-08T00:00,59.33324709,1397730.966,38810.96653,876.0102673,58.8648758,628792.7181,985.0908601
38681.37,2021-01-08T01:00,56.43906856,1400439.335,38793.68699,791.281372,57.44212418,623017.3288,1000.441513
37181.74,2021-01-08T02:00,17.63880983,1396897.684,38578.76072,596.2522789,42.58274916,613653.0817,1085.612119
38347.1,2021-01-08T03:00,47.79042691,1401116.308,38547.87263,529.6200005,52.8007478,618689.8286,1107.477682
38648.95,2021-01-08T08:00,55.60025873,1400530.94,38561.34961,495.4588707,55.03295033,621967.5667,1073.940705
39358.34,2021-01-08T09:00,73.95446313,1404416.603,38667.615,519.6377135,59.83992229,625963.3705,1079.532083
40721.45,2021-01-08T10:00,92.62054636,1410945.401,38941.45966,641.3975736,67.11456009,636261.5918,1133.693363
41286.67,2021-01-08T11:00,95.72478477,1416794.418,39254.15437,774.5728763,69.57555542,645548.1418,1135.219551
41316.91,2021-01-08T12:00,91.12752795,1416717.169,39529.18846,872.4977673,69.70617558,653138.4208,1120.456012
41311.18,2021-01-08T13:00,91.01912636,1418305.175,39766.78733,938.8194595,69.64516066,647806.9681,1107.697011
41454.13,2021-01-08T14:00,93.7234908,1420765.622,39991.76635,991.4855208,70.34260878,651725.1487,1071.040082
40829.08,2021-01-08T15:00,79.43266055,1420358.095,40103.40817,971.5875856,63.47505122,638861.1971,1149.751504
41303.42,2021-01-08T16:00,88.13614679,1423641.64,40263.40975,982.7649004,66.17399719,645154.2559,1156.221397
41009.07,2021-01-08T17:00,82.73522936,1421290.326,40362.83112,956.8415442,63.06000479,641479.0512,1121.299154
39920.39,2021-01-08T18:00,62.75944954,1415804.239,40303.83897,838.7807775,53.1060615,634805.3034,1137.849215
40365.09,2021-01-08T19:00,70.91908257,1416434.364,40312.00577,772.1989143,56.15082889,638686.3759,1113.692128
39059.15,2021-01-08T20:00,40.78068666,1408874.393,40144.95834,607.0560994,46.58496931,629088.3024,1149.285547
40075.82,2021-01-08T21:00,49.72693133,1414703.974,40135.73989,551.8545652,53.26060172,635259.6666,1171.79158
40674.45,2021-01-08T22:00,65.784603,1417075.003,40207.56791,550.0705192,56.69265224,638267.7151,1162.667181
40582.81,2021-01-08T23:00,58.54487568,1415721.365,40257.60018,535.093839,56.01456926,635582.1153,1113.334525
40283.56,2021-01-09T00:00,49.47119466,1414008.348,40261.06149,493.3902425,53.75358638,631199.8603,1104.943488
40198.56,2021-01-09T01:00,46.89387508,1416720.096,40252.72796,448.3131769,53.09797918,626656.1243,1069.727524
39973,2021-01-09T02:00,40.05457853,1416388.988,40215.4309,389.8940152,51.30958751,623624.0777,1069.173416
