Open,High,Low,Close,Volume,date
39145.21,39747.76,39023.24,39452.89,3774.330608,2021-01-15T00:00
39452.89,39640,39012.12,39175.74,2907.102569,2021-01-15T01:00
39175.73,39479.65,38800,39267.76,2742.797812,2021-01-15T02:00
39267.76,39349.58,38450,38700,3549.506053,2021-01-15T03:00
38700,38853.09,38355,38425.83,2792.0441,2021-01-15T04:00
38425.82,38849.99,37808,37808.9,3634.095611,2021-01-15T05:00
37808.9,38098,37554.94,38043.27,4123.493724,2021-01-15T06:00
38044.94,38483.82,37704.8,38473.08,3768.177243,2021-01-15T07:00
38473.07,38700,38153.17,38280.2,3113.972927,2021-01-15T08:00
38280.2,38718.02,38016.17,38679.36,3356.499665,2021-01-15T09:00
38677.24,38780,38314.2,38441.89,2224.431673,2021-01-15T10:00
38441.89,38573.84,37923,38108.88,3028.510379,2021-01-15T11:00
38108.87,38194.04,37200,37770.63,6046.111543,2021-01-15T12:00
37770.64,37888.88,37251.11,37683.94,4557.685702,2021-01-15T13:00
37683.93,37786.74,36641,36939.49,6587.752786,2021-01-15T14:00
36940.11,36999,35258,35610.72,11637.87487,2021-01-15T15:00
35610.79,36400,34408,36151.09,16406.90733,2021-01-15T16:00
36149.47,36154.75,35350,35947.31,7410.887997,2021-01-15T17:00
35947.31,36433.51,34812.23,35421.55,7136.055299,2021-01-15T18:00
35421.56,35928.69,35080.05,35217.26,4051.588722,2021-01-15T19:00
35218.94,35746.24,34801.15,35605.7,5526.419085,2021-01-15T20:00
35605.7,36431.75,35554.13,36234.05,4285.708843,2021-01-15T21:00
36233.76,36888,35950.63,36600,3398.855783,2021-01-15T22:00
36600,36888,36401.22,36742.22,2240.110587,2021-01-15T23:00
36737.43,37428.05,36724.17,37159.51,4169.146802,2021-01-16T00:00
37159.51,37669,36902.38,37005.86,4102.259275,2021-01-16T01:00
37003.76,37227.16,36000,36224.51,4298.866339,2021-01-16T02:00
36224.51,36738.43,35852.93,36532.92,3426.000503,2021-01-16T03:00
36532.92,36700,36127.16,36574.54,2089.282085,2021-01-16T04:00
36575.37,36646.43,35520,35854.37,4007.389585,2021-01-16T05:00
35854.37,36377.54,35823.8,36112.42,3043.317624,2021-01-16T06:00
36110.57,36959.61,36076.5,36574.86,3648.988053,2021-01-16T07:00
36565.74,37500,36375.88,37464.3,4175.618239,2021-01-16T08:00
37462.57,37666.66,37200,37448.77,3311.739104,2021-01-16T09:00
37448.78,37950,37300,37410.66,4139.978807,2021-01-16T10:00
37410.67,37838.23,37179.41,37680,2918.80035,2021-01-16T11:00
37680,37886,36712,37357.15,4677.641269,2021-01-16T12:00
37357.15,37681.99,37058.76,37143.51,3239.400688,2021-01-16T13:00
37148.15,37356.26,36671.2,37232.19,3525.255557,2021-01-16T14:00
37232.19,37680,36983.05,37461.99,3462.801465,2021-01-16T15:00
37463.46,37713.94,36921,37231.41,3881.93071,2021-01-16T16:00
37231.42,37299.99,36800,36860.97,2512.100908,2021-01-16T17:00
36859.24,37165.9,36400,36484.95,2411.279809,2021-01-16T18:00
36484.95,36621.3,36200,36376.39,3971.874623,2021-01-16T19:00
36376.39,36800,36235.6,36711.16,3324.72866,2021-01-16T20:00
36713.85,36717,35684.82,35924.44,5744.883332,2021-01-16T21:00
35910.07,36194.53,35357.8,36121.12,3505.766993,2021-01-16T22:00
36127.2,36480,35900,35994.98,2759.380728,2021-01-16T23:00
35994.98,36472.72,35520,36396.42,3726.445506,2021-01-17T00:00
36396.42,36727.26,36176.66,36715.63,2847.948884,2021-01-17T01:00
36715.63,36744.05,36235,36419.68,1927.694738,2021-01-17T02:00
36419.68,36541.88,35978,36177,2021.331779,2021-01-17T03:00
36177,36382.38,35822.62,35847.46,2093.289096,2021-01-17T04:00
35848.25,36009.42,35475.14,35547.13,2900.407945,2021-01-17T05:00
35547.12,35733.23,35034.96,35390.8,4077.705444,2021-01-17T06:00
35390.8,35530,34518.04,34760.9,5014.082485,2021-01-17T07:00
34760.91,34834.41,34300,34732.83,5641.050217,2021-01-17T08:00
34732.08,35188,34000,34176.77,5570.231297,2021-01-17T09:00
34176.78,35147.84,33850,34818,5718.029049,2021-01-17T10:00
34816.26,35400,34727.85,35267.17,3861.659694,2021-01-17T11:00
35270,35545.34,34695.46,35124.69,3962.002679,2021-01-17T12:00
35124.07,35500,34786.76,34841.83,2919.101064,2021-01-17T13:00
34841.82,35243.64,34666,34750.02,2849.001966,2021-01-17T14:00
34750.02,35973.89,34750.01,35728.47,4341.235449,2021-01-17T15:00
35633.9,36099,35559.84,36072.99,1917.722247,2021-01-17T20:00
36073.88,36852.5,36073.87,36542.96,3878.402824,2021-01-17T21:00
36542.97,36700,36000.39,36181.16,2247.453044,2021-01-17T22:00
36181.16,36417.51,35506,35828.61,3344.525693,2021-01-17T23:00
35824.99,36016.7,35551.81,35964.2,3323.901139,2021-01-18T00:00
35964.19,36180,35605.22,36125.44,2560.955564,2021-01-18T01:00
