date,compound
2021-01-16 08:00:00,5.4649
2021-01-16 09:00:00,8.1439
2021-01-16 10:00:00,0.6996000000000002
2021-01-16 11:00:00,5.3772
2021-01-16 12:00:00,7.0607
2021-01-16 13:00:00,3.5961
2021-01-16 14:00:00,4.5234000000000005
2021-01-16 15:00:00,3.9976000000000003
2021-01-16 16:00:00,10.4457
2021-01-16 17:00:00,6.2317
2021-01-16 18:00:00,3.9872
2021-01-16 19:00:00,5.798
2021-01-16 20:00:00,6.1433
2021-01-16 21:00:00,6.5353
2021-01-16 22:00:00,8.304
2021-01-16 23:00:00,2.9021
2021-01-17 00:00:00,4.6906
2021-01-17 01:00:00,3.1786999999999996
2021-01-17 02:00:00,-0.7932999999999997
2021-01-17 03:00:00,4.2639000000000005
2021-01-17 04:00:00,4.0755
2021-01-17 05:00:00,2.2054
2021-01-17 06:00:00,1.2591
2021-01-17 07:00:00,3.1954000000000002
2021-01-17 08:00:00,6.2231
2021-01-17 09:00:00,2.0141
2021-01-17 10:00:00,0.13449999999999995
2021-01-17 11:00:00,6.0808
2021-01-17 12:00:00,2.3057
2021-01-17 13:00:00,5.1223
2021-01-17 14:00:00,5.1359
2021-01-17 15:00:00,5.864000000000001
2021-01-17 16:00:00,2.8947
2021-01-17 17:00:00,1.9068
2021-01-17 18:00:00,2.0169
2021-01-17 19:00:00,6.0619
2021-01-17 20:00:00,3.7378
2021-01-17 21:00:00,4.4676
2021-01-17 22:00:00,5.7495
2021-01-17 23:00:00,6.6745
2021-01-18 00:00:00,6.4704999999999995
2021-01-18 01:00:00,3.848
2021-01-18 02:00:00,2.6449
2021-01-18 03:00:00,0.9872000000000003
2021-01-18 04:00:00,4.0503
2021-01-18 05:00:00,5.7362
2021-01-18 06:00:00,-0.6015999999999999
2021-01-18 07:00:00,7.6452
2021-01-18 08:00:00,5.8065999999999995
2021-01-18 09:00:00,4.0516000000000005
2021-01-18 10:00:00,4.1791
2021-01-18 11:00:00,8.4336
2021-01-18 12:00:00,16.366600000000002
2021-01-18 13:00:00,10.8917
2021-01-18 14:00:00,5.651
2021-01-18 15:00:00,5.3546000000000005
2021-01-18 16:00:00,5.3433
2021-01-18 17:00:00,5.3727
2021-01-18 18:00:00,12.0756
2021-01-18 19:00:00,11.7563
2021-01-18 20:00:00,8.7086
2021-01-18 21:00:00,4.5239
2021-01-18 22:00:00,7.0222
2021-01-18 23:00:00,5.442200000000001
2021-01-19 00:00:00,11.0104
2021-01-19 01:00:00,79.4204
2021-01-19 02:00:00,83.491
2021-01-19 03:00:00,41.9128
2021-01-19 04:00:00,40.3126
2021-01-19 05:00:00,24.4897
2021-01-19 06:00:00,21.0641
2021-01-19 07:00:00,32.7349
2021-01-19 08:00:00,31.5952
2021-01-19 09:00:00,16.361
2021-01-19 10:00:00,16.9096
2021-01-19 11:00:00,18.6374
2021-01-19 12:00:00,17.4049
2021-01-19 13:00:00,32.78
2021-01-19 14:00:00,31.7299
2021-01-19 15:00:00,13.6332
2021-01-19 16:00:00,23.8619
2021-01-19 17:00:00,17.9801
2021-01-19 18:00:00,11.041
2021-01-19 19:00:00,14.1253
2021-01-19 20:00:00,15.7931
2021-01-19 21:00:00,10.5664
2021-01-19 22:00:00,8.6457
2021-01-19 23:00:00,20.311700000000002
2021-01-20 00:00:00,21.1077
2021-01-20 01:00:00,12.4861
2021-01-20 02:00:00,7.5054
2021-01-20 03:00:00,10.3798
2021-01-20 04:00:00,10.6539
2021-01-20 05:00:00,1.6755
2021-01-20 06:00:00,6.9192
2021-01-20 07:00:00,4.7077
2021-01-20 08:00:00,6.1764
2021-01-20 09:00:00,0.18569999999999998
2021-01-20 10:00:00,4.5411
2021-01-20 11:00:00,2.3033
2021-01-20 12:00:00,1.2044
2021-01-20 13:00:00,8.8764
2021-01-20 14:00:00,9.2922
2021-01-20 15:00:00,7.5013
2021-01-20 16:00:00,3.4694
2021-01-20 17:00:00,5.3553
2021-01-20 18:00:00,4.4709
2021-01-20 19:00:00,3.2494
2021-01-20 20:00:00,3.7045
2021-01-20 21:00:00,2.0202
2021-01-20 22:00:00,4.858099999999999
2021-01-20 23:00:00,9.9854
2021-01-21 00:00:00,2.8029
2021-01-21 01:00:00,10.0967
2021-01-21 02:00:00,3.8411
2021-01-21 03:00:00,5.6968
2021-01-21 04:00:00,0.5627000000000002
2021-01-21 05:00:00,0.4501
2021-01-21 06:00:00,2.0742000000000003
2021-01-21 07:00:00,3.6298
2021-01-21 08:00:00,3.7350000000000003
2021-01-21 09:00:00,6.6674
2021-01-21 10:00:00,-0.9716000000000001
2021-01-21 11:00:00,3.5027000000000004
2021-01-21 12:00:00,6.4889
2021-01-21 13:00:00,9.9292
2021-01-21 14:00:00,8.5449
2021-01-21 15:00:00,2.5947
2021-01-21 16:00:00,2.7791999999999994
2021-01-21 17:00:00,4.6536
2021-01-21 18:00:00,3.3676
